VOC,Temp,Humi,Rsr,Rstd,RL,S1,S0,TC1,TC0,HC1,HC0
3.57,0.00,0.00,476,0,0,0.58,0.00,0.00,0.00,0.00,0.00
18.06,0.00,0.00,211,0,0,0.58,0.00,0.00,0.00,0.00,0.00
100.00,0.00,0.00,49,0,0,0.58,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
